##### DP MATRIX ##### 
XDIM	24	15

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	-9.726	-7.478	-9.511	-8.387	-9.457	-8.658	-9.730	-9.814	-9.457	-8.489	-7.479	-10.032	-9.803	-9.457	-5.705	
I 1	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	-inf	-14.638	-12.390	-13.345	-13.300	-14.255	-13.570	-14.526	-14.726	-14.369	-13.402	-12.392	-13.347	-14.302	-14.369	

M 2	-inf	-9.726	-9.230	-8.656	-8.045	-9.576	-9.687	-9.731	-9.881	-9.576	-8.125	-9.232	-9.274	-9.682	-9.576	-8.715	
I 2	-inf	-13.916	-11.667	-13.701	-12.577	-13.647	-12.848	-13.920	-14.004	-13.647	-12.679	-11.669	-14.222	-13.993	-13.647	-inf	
D 2	-inf	-inf	-14.638	-14.142	-13.568	-12.957	-13.913	-14.599	-14.643	-14.793	-14.489	-13.037	-13.992	-14.186	-14.594	-14.489	

M 3	-inf	-9.384	-9.290	-8.615	-9.101	-9.028	-9.343	-9.389	-9.116	-9.344	-8.951	-9.056	-9.700	-9.439	-9.344	-9.199	
I 3	-inf	-13.916	-12.440	-12.846	-12.235	-13.766	-13.621	-13.921	-14.071	-13.766	-12.315	-12.442	-13.464	-13.872	-13.766	-inf	
D 3	-inf	-inf	-14.297	-14.202	-13.527	-14.014	-13.940	-14.255	-14.301	-14.029	-14.256	-13.863	-13.968	-14.613	-14.351	-14.256	

M 4	-inf	-9.734	-9.149	-9.758	-6.637	-9.595	-9.685	-9.739	-10.017	-9.595	-8.021	-9.150	-10.231	-9.733	-9.595	-8.565	
I 4	-inf	-13.574	-13.213	-12.805	-13.008	-13.218	-13.533	-13.579	-13.306	-13.533	-13.087	-13.214	-13.890	-13.629	-13.533	-inf	
D 4	-inf	-inf	-14.646	-14.061	-14.670	-11.549	-12.505	-13.460	-14.415	-14.929	-14.507	-12.933	-13.888	-14.844	-14.645	-14.507	

M 5	-inf	-8.529	-9.410	-8.996	-9.620	-4.189	-8.889	-8.534	-9.446	-5.972	-9.366	-9.013	-8.717	-8.375	-5.972	-9.661	
I 5	-inf	-13.924	-13.338	-13.577	-10.827	-13.785	-13.874	-13.928	-14.079	-13.785	-12.211	-13.340	-14.421	-13.922	-13.785	-inf	
D 5	-inf	-inf	-13.441	-14.322	-13.908	-14.532	-9.102	-10.057	-11.012	-11.967	-10.884	-11.839	-12.795	-13.629	-13.287	-10.884	

M 6	-inf	-8.799	-8.511	-9.152	-9.606	-8.785	-1.056	-8.804	-9.504	-8.785	-6.920	-8.512	-8.953	-8.677	-8.710	-6.280	
I 6	-inf	-12.719	-13.600	-13.186	-11.600	-8.379	-13.079	-12.724	-13.635	-10.162	-12.984	-13.203	-12.907	-12.565	-10.162	-inf	
D 6	-inf	-inf	-13.712	-13.423	-14.064	-14.518	-13.697	-5.968	-6.923	-7.878	-8.833	-9.789	-10.744	-11.699	-12.654	-13.609	

M 7	-inf	-6.166	-9.669	-9.309	-9.821	-8.590	-8.965	1.252	-7.590	-7.498	-9.400	-8.112	-9.543	-8.134	-8.591	-9.991	
I 7	-inf	-12.989	-12.700	-13.342	-12.372	-9.152	-5.246	-12.994	-13.694	-10.935	-11.110	-12.702	-13.143	-12.867	-10.935	-inf	
D 7	-inf	-inf	-11.079	-12.034	-12.989	-13.944	-13.503	-13.877	-3.660	-4.615	-5.570	-6.525	-7.480	-8.435	-9.391	-10.346	

M 8	-inf	-5.430	-7.358	-8.573	-9.085	-7.854	-8.229	-3.534	0.093	-4.234	-6.136	-7.225	-8.052	-7.398	-7.854	-9.254	
I 8	-inf	-10.356	-13.473	-13.499	-13.145	-9.924	-6.018	-2.938	-11.780	-11.688	-11.882	-12.302	-13.733	-12.324	-11.707	-inf	
D 8	-inf	-inf	-10.342	-11.297	-12.252	-13.207	-12.766	-13.141	-8.447	-4.819	-5.774	-6.729	-7.684	-8.639	-9.594	-10.550	

M 9	-inf	-7.404	-6.602	-8.016	-9.089	-7.705	-8.112	-6.251	-4.589	0.160	-5.221	-7.309	-7.800	-5.645	-7.331	-9.337	
I 9	-inf	-9.620	-11.548	-12.763	-13.274	-10.697	-6.791	-3.710	-4.097	-8.424	-10.326	-11.415	-12.242	-11.587	-12.044	-inf	
D 9	-inf	-inf	-12.316	-11.515	-12.470	-13.425	-12.618	-13.024	-11.163	-9.501	-4.752	-5.708	-6.663	-7.618	-8.573	-9.528	

M 10	-inf	-9.226	-6.581	-7.812	-7.887	-8.957	-8.062	-8.816	-5.819	-5.744	-0.028	-4.393	-7.901	-8.627	-6.800	-4.735	
I 10	-inf	-10.392	-10.792	-12.206	-13.279	-11.469	-7.563	-4.483	-4.869	-4.030	-9.411	-11.499	-11.990	-9.835	-11.521	-inf	
D 10	-inf	-inf	-14.138	-11.493	-12.448	-12.799	-13.755	-12.974	-13.729	-10.731	-10.656	-4.940	-5.895	-6.850	-7.806	-8.761	

M 11	-inf	-8.858	-4.926	-7.613	-8.406	-8.661	-7.865	-8.863	-6.454	-6.296	-5.209	2.876	-5.692	-7.390	-8.143	-5.901	
I 11	-inf	-11.165	-10.771	-12.002	-12.077	-12.242	-8.336	-5.255	-5.642	-4.803	-4.218	-8.583	-12.091	-10.607	-10.990	-inf	
D 11	-inf	-inf	-13.771	-9.838	-10.793	-11.748	-12.704	-12.778	-13.733	-11.366	-11.208	-10.121	-2.037	-2.992	-3.947	-4.902	

M 12	-inf	-7.138	-7.536	-5.540	-7.913	-6.374	-6.714	-7.143	-6.821	-6.374	-6.904	-6.233	5.229	-3.086	-3.709	-6.183	
I 12	-inf	-11.937	-9.116	-11.803	-12.596	-12.851	-9.109	-6.028	-6.414	-5.575	-4.990	-1.314	-9.882	-11.380	-11.762	-inf	
D 12	-inf	-inf	-12.050	-12.448	-10.452	-11.407	-11.286	-11.626	-12.055	-11.733	-11.286	-11.816	-11.146	0.316	-0.639	-1.594	

M 13	-inf	-5.161	-4.665	-4.944	-3.480	-5.011	-5.122	-5.166	-5.316	-5.011	-3.560	-4.667	-3.706	3.878	-1.392	-1.485	
I 13	-inf	-11.328	-9.888	-9.730	-12.103	-10.564	-9.881	-6.800	-7.187	-6.348	-5.763	-2.087	1.039	-7.276	-7.899	-inf	
D 13	-inf	-inf	-10.073	-9.577	-9.856	-8.392	-9.348	-10.034	-10.078	-10.228	-9.924	-8.472	-9.427	-8.618	-1.034	-1.989	

M 14	-inf	-3.905	-4.786	-4.372	-4.996	-1.032	-4.265	-3.909	-4.821	-1.348	-4.742	-4.552	-2.981	0.487	6.326	-2.632	
I 14	-inf	-9.351	-8.855	-9.134	-7.670	-9.201	-9.312	-7.573	-7.959	-7.120	-6.536	-2.859	0.266	-0.312	-5.582	-inf	
D 14	-inf	-inf	-8.817	-9.698	-9.284	-9.908	-5.945	-6.900	-7.855	-8.810	-6.260	-7.215	-8.170	-7.893	-4.425	1.414	

M 15	-inf	-4.093	-1.845	-3.878	-2.755	-3.824	-1.389	-4.097	-4.181	-3.824	-1.536	-1.847	-4.399	-1.832	-0.668	8.922	
I 15	-inf	-8.095	-8.976	-8.562	-8.443	-5.222	-8.455	-8.099	-8.732	-5.538	-7.308	-3.632	-0.506	-1.084	2.136	-inf	
D 15	-inf	-inf	-9.005	-6.757	-7.712	-7.667	-8.622	-6.301	-7.256	-8.211	-8.737	-6.448	-6.759	-7.714	-6.744	-5.580	

M 16	-inf	-1.497	0.752	-1.282	-0.158	-1.228	-0.429	-1.501	-1.585	-1.228	-0.260	0.750	-1.803	-1.574	-1.228	4.136	
I 16	-inf	-8.283	-6.035	-8.068	-6.944	-5.995	-5.579	-8.287	-8.371	-6.310	-5.726	-4.404	-1.279	-1.857	1.363	-inf	
D 16	-inf	-inf	-6.409	-4.161	-5.116	-5.070	-6.025	-5.341	-6.296	-6.497	-6.140	-5.173	-4.162	-5.118	-6.073	-6.140	

M 17	-inf	-0.452	-0.163	0.048	-1.258	-0.438	3.031	-0.457	-1.157	-0.438	-1.050	-0.165	0.246	-0.329	-0.438	0.459	
I 17	-inf	-5.687	-3.438	-5.472	-4.348	-5.418	-4.619	-5.691	-5.775	-5.418	-4.450	-3.440	-2.051	-2.629	0.591	-inf	
D 17	-inf	-inf	-5.364	-5.075	-4.864	-5.819	-5.350	-1.881	-2.836	-3.791	-4.746	-5.701	-5.077	-4.666	-5.242	-5.350	

M 18	-inf	2.181	-1.322	-0.962	-1.294	-0.243	-0.618	5.340	-1.291	-0.243	-1.190	-1.323	-1.196	0.591	-0.243	-1.517	
I 18	-inf	-4.642	-4.211	-4.142	-5.121	-4.628	-1.159	-4.646	-5.347	-4.628	-5.223	-4.213	-2.824	-3.402	-0.182	-inf	
D 18	-inf	-inf	-2.731	-3.686	-4.641	-5.596	-5.155	-5.530	0.427	-0.528	-1.483	-2.438	-3.393	-4.348	-4.321	-5.155	

M 19	-inf	2.151	0.989	-0.992	-1.503	-0.273	-0.647	2.147	4.181	-0.147	-1.219	-1.353	-1.225	0.184	0.480	-1.673	
